,id,task_num,task_text,dept,task_responsibles_people,task_deadline,position,name,global_deadline,Tasks
10,12,Task1,Провести замену используемых компонентов архитектуры на открытое программное обеспечение. Срок завершения: 03.01.2018.,Отдел архитектуры,Ответственность за исполнение распоряжения возложить на специалиста третьей категории отдела архитектуры Слесарева А.В,2018-01-02,специалист третий категория отдел архитектура,слесарев а.в,2022-11-14,
11,12,Task2,Создать макет для экспериментов с перспективными фреймворками. Приступить к исполнению поручения до 15 сен 2019 г..,Отдел архитектуры,Контроль над исполнением распоряжения оставить за архитектором программного обеспечения Абатуровым Борисом,2019-09-14,архитектор программный обеспечение,абатуров б.,2022-11-14,
12,12,Task3,Провести анализ уязвимости используемых архитектурных решений и предложения по их устранению. Приступить к исполнению поручения до 09 авг 18.,Отдел архитектуры,Ответственным за исполнение настоящего приказа назначить специалиста первой категории отдела архитектуры Миронова К.А.,2018-08-08,специалист первый категория отдел архитектура,миронов к.а.,2022-11-14,
13,12,Task4,Внести изменения в проектную документацию с учетом изменений архитектуры системы. Дата окончания: 14 апр 2022 г..,Отдел архитектуры,За контроль над исполнением распоряжения назначить ответственным архитектора программного обеспечения Абатурова Бориса,2022-04-13,архитектор программный обеспечение,абатуров б.,2022-11-14,
14,12,Task5,Уменьшить время отклика запроса к базе данных на 20%. Выполнить данное поручение до 05.02.2022.,Отдел архитектуры,Ответственным за исполнение настоящего приказа назначить специалиста третьей категории отдела архитектуры Слесарева А.В,2022-02-04,специалист третий категория отдел архитектура,слесарев а.в,2022-11-14,
15,12,Task6,Проанализировать возможности аппаратного обеспечения заказчика и оптимизировать архитектуру ПО. Установить срок выполнения задачи до 12 февраля 14.,Отдел архитектуры,Контроль над выполнением настоящего приказа возложить на специалиста второй категории отдела архитектуры Симонова Н.С.,2014-02-11,специалист второй категория отдел архитектура,симонов н.с.,2022-11-14,
16,12,Task7,Выполнить стресс-тестирование и системы и предоставить отчет. Завершить выполнение к 02 сен 2018 г..,Отдел архитектуры,Контроль над выполнением приказа возложить на специалиста третьей категории отдела архитектуры Слесарева А.В,2018-09-01,специалист третий категория отдел архитектура,слесарев а.в,2022-11-14,
17,12,Task8,Внести изменения в проектную документацию с учетом изменений архитектуры системы. Выполнить данное поручение до 16.07.18.,Отдел архитектуры,Контроль над исполнением распоряжения оставить за архитектором программного обеспечения Абаковым Алексеем,2018-07-15,архитектор программный обеспечение,абаков а.,2022-11-14,
18,12,Task9,Разработать описание архитектуры системы. Привести вышеизложенное поручение в исполнение к 12 сен 16.,Отдел архитектуры,За контроль над исполнением распоряжения назначить ответственным специалиста первой категории отдела архитектуры Миронова К.А.,2016-09-11,первый категория отдел архитектура,миронов к.а.,2022-11-14,
19,13,Task1,Провести рабочее совещание для формирования требований технического задания. Срок завершения: 02 марта 2012 года.,Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить специалиста второй категории отдела разработки систем Попова А.А.,2012-03-01,специалист второй категория отдел разработка система,попов а.а.,2020-10-06,
20,13,Task2,Провести рефакторинг программного обеспечения для повышения производительности. Приступить к исполнению поручения до 22 дек 18.,Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить специалиста второй категории отдела разработки систем Попова А.А.,2018-12-21,специалист второй категория отдел разработка система,попов а.а.,2020-10-06,
21,13,Task3,Уточнить требования к аппаратному обеспечению для нормального функционирования системы. Сроком окончания работ определить 10 мар 19.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста первой категории отдела разработки систем Никишина С.Е.,2019-03-09,специалист первый категория отдел разработка система,никишин с.е.,2020-10-06,
22,13,Task4,Разработать модуль обработки информации в системе с учетом требований от заказчика. Установить срок выполнения задачи до 17.12.2015.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить тимлид проектной команды Абаимова Симона,2015-12-16,тимлида проектный команда,абаимов с.,2020-10-06,
23,13,Task5,Подготовить юнит тесты для разработанных функций системы. Определить срок исполнения задачи вплоть до 22 августа 2022 года.,Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить специалиста второй категории отдела разработки пользовательских интерфейсов Попова А.А.,2022-08-21,второй категория отдел разработка пользовательский интерфейс,попов а.а.,2020-10-06,
24,13,Task6,Провести рабочее совещание для формирования требований технического задания. Срок выполнения поручения: 04 мар 2018 г..,Отдел разработки систем,Ответственность за исполнение распоряжения возложить на специалиста третьей категории отдела разработки пользовательских интерфейсов Андреева С.Е.,2018-03-03,специалист третий категория,андреев с.е.,2020-10-06,
25,13,Task7,Использовать автоматизированное тестирование перед сборкой системы. Завершить выполнение к 19.07.15.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным администратора баз данных Абашичева Алексея,2015-07-18,администратор база данные,абашичев а.,2020-10-06,
26,14,Task1,Обеспечить комфортные условия для работы сотрудников во внеурочное время. Дата окончания: 28 мая 19.,Административно-хозяйственный отдел,За контроль над исполнением распоряжения назначить ответственным руководителя Административно-хозяйственного отдела С.С.Галкина,2019-05-27,руководитель административно-хозяйственный отдел,галкин c.c.,2013-10-15,
27,14,Task2,Закупить книги. Срок выполнения поручения: 19 октября 2021 года.,Административно-хозяйственный отдел,Обеспечение выполнения возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2021-10-18,руководитель административно-хозяйственный отдел,галкин c.c.,2013-10-15,
28,14,Task3,Организовать дополнительный клиниг помещений. Срок завершения: 18 июня 2012 г..,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2012-06-17,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2013-10-15,
29,14,Task4,Закупить книги. Привести вышеизложенное поручение в исполнение к 08.12.2015.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить руководителя Административно-хозяйственного отдела С.С.Галкина,2015-12-07,руководитель административно-хозяйственный отдел,галкин c.c.,2013-10-15,
30,14,Task5,Организовать регулярную поливку цветов. Сроком окончания работ определить 24 декабря 2017 года.,Административно-хозяйственный отдел,Контроль над выполнением приказа возложить на специалиста второй категории административно-хозяйственного отдела Поспелову Н.А.,2017-12-23,специалист второй категория административно-хозяйственный отдел,поспелов н.а.,2013-10-15,
31,15,Task1,Устранить полученные замечания налоговой службы. Установить срок выполнения задачи до 24 июня 14.,Бухгалтерия,Обеспечение выполнения возложить на специалиста первой категории бухгалтерии Миронову Т.П.,2014-06-23,специалист первый категория бухгалтерия,миронов т.п.,2015-12-20,
32,15,Task2,Произвести расчет и выплату премии. Привести вышеизложенное поручение в исполнение к 18 декабря 2018 года.,Бухгалтерия,За контроль над исполнением распоряжения назначить ответственным специалиста третей категории бухгалтерии Александрова А.С.,2018-12-17,треть категория бухгалтерия,александров а.с.,2015-12-20,
33,15,Task3,"Перечислить необходимые средства для проведения мероприятия, с учетом предоставленной сметы. Срок выполнения поручения: 27 дек 2013 г..",Бухгалтерия,За контроль и выполнение назначить ответственным главного бухгалтера Семенову М.С.,2013-12-26,главное бухгалтер,семёнов м.с.,2015-12-20,
34,15,Task4,Выделить средства на проведение обучения. Сроком окончания работ определить 01 янв 16.,Бухгалтерия,Ответственность за исполнение распоряжения возложить на специалиста первой категории бухгалтерии Миронову Т.П.,2015-12-31,специалист первый категория бухгалтерия,миронов т.п,2015-12-20,
35,15,Task5,Добавить персональные данные сотрудника в бахгалтерскую информационную систему для осуществления выплат заработной платы. Выполнить данное поручение до 07 мая 2015 г..,Бухгалтерия,Контроль над исполнением распоряжения оставить за специалистом первой категории бухгалтерии Мироновой Т.П.,2015-05-06,специалист первый категория бухгалтерия,миронов т.п,2015-12-20,
36,15,Task6,Выделить средства на проведение обучения. Срок завершения: 26.12.22.,Бухгалтерия,Ответственным за исполнение настоящего приказа назначить специалиста первой категории бухгалтерии Миронову Т.П.,2022-12-25,первый категория бухгалтерия,миронов т.п.,2015-12-20,
37,15,Task7,Оплаить приобретение программного обеспечения. Установить срок выполнения задачи до 09 ноября 16.,Бухгалтерия,Контроль над выполнением приказа возложить на главного бухгалтера Семенову М.С.,2016-11-08,главное бухгалтер,миронов и.а,2015-12-20,
38,16,Task1,Проанализировать требования тендерной документации на поставку программного обеспечения. Сроком окончания работ определить 21 июля 2017 года.,Отдел разработки систем,Ответственность за исполнение распоряжения возложить на специалиста третьей категории отдела разработки пользовательских интерфейсов Андреева С.Е.,2017-07-20,специалист третий категория,андреев с.е.,2012-09-30,
39,16,Task2,"Скорректировать функцию чтения конфигурационного файла, с учетом изменений в формате json. Сроком окончания работ определить 25 января 12.",Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить специалиста первой категории отдела разработки пользовательских интерфейсов Никишина С.Е.,2012-01-24,первый категория отдел разработка пользовательский интерфейс,никишин с.е.,2012-09-30,
40,16,Task3,Разработать функцию чтения информации из базы данных. Сроком окончания работ определить 17 июня 17.,Отдел разработки систем,Контроль над выполнением приказа возложить на специалиста третьей категории отдела разработки пользовательских интерфейсов Андреева С.Е.,2017-06-16,специалист третий категория,андреев с.е.,2012-09-30,
41,16,Task4,Провести анализ неисправности работы API и обеспечить устранение ошибки. Приступить к исполнению поручения до 15.11.2014.,Отдел разработки систем,Контроль над исполнением распоряжения оставить за специалистом первой категории отдела разработки систем Никишиным С.Е.,2014-11-14,специалист первый категория отдел разработка система,никишин с.е.,2012-09-30,
42,16,Task5,"Устранить выявленные замечания, с учетом дополнительных требований. Срок завершения: 14.10.2021.",Отдел разработки систем,Контроль над исполнением распоряжения оставить за специалистом третьей категории отдела разработки систем Андреевым С.Е.,2021-10-13,специалист третий категория отдел разработка система,андреев с.е.,2012-09-30,
43,17,Task1,Произвести расчет и выплату премии. Срок завершения: 13 апр 2020 г..,Бухгалтерия,Ответственность за исполнение распоряжения возложить на главного бухгалтера Семенову М.С.,2020-04-12,главное бухгалтер,миронов и.а,2018-06-17,
44,18,Task1,Подготовить спецификацию проекта для формирования коммерческого предложения с учетом технического задания от заказчика. Завершить выполнение к 24 окт 2013 г..,Отдел проектирования,За контроль и выполнение назначить ответственным специалиста первой категории отдела проектирования Семенова И.А.,2013-10-23,специалист первый категория отдел проектирование,семёнов и.а.,2014-01-19,
45,19,Task1,Подготовить спецификацию проекта для формирования коммерческого предложения с учетом технического задания от заказчика. Срок завершения: 26 марта 2016 года.,Отдел проектирования,Контроль над исполнением распоряжения оставить за специалистом второй категории отдела проектирования Поповым И.И.,2016-03-25,специалист второй категория отдел проектирование,попов и.и.,2019-02-06,
46,19,Task3,Проанализировать требования законодательства в части правил проектирования систем. Завершить выполнение к 01 ноя 2014 г..,Отдел проектирования,За контроль над исполнением распоряжения назначить ответственным специалиста первой категории отдела проектирования Семенова И.А.,2014-10-31,первый категория отдел проектирование,семёнов и.а.,2019-02-06,
47,19,Task4,Скорректировать проектно-сметную документацию с учетом замечаний заказчика. Завершить выполнение к 20 марта 2016 года.,Отдел проектирования,Контроль над выполнением настоящего приказа возложить на специалиста третьей категории отдела проектирования Коптелова Е.В,2016-03-19,специалист третий категория отдел проектирование,коптелов е.в,2019-02-06,
48,19,Task5,Добавить модуль расширения системы в проект. Срок завершения: 17 июля 2015 г..,Отдел проектирования,Ответственным за исполнение настоящего приказа назначить специалиста второй категории отдела проектирования Попова И.И.,2015-07-16,специалист второй категория отдел проектирование,попов и.и.,2019-02-06,
49,19,Task6,Организовать обучение сотрудников правилам проектирования систем. Приступить к исполнению поручения до 11.07.13.,Отдел проектирования,Контроль над выполнением приказа возложить на специалиста третьей категории отдела проектирования Коптелова Е.В,2013-07-10,специалист третий категория отдел проектирование,коптелов е.в,2019-02-06,
50,19,Task7,Скорректировать UML диаграммы с учетом изменений в техническом задании. Приступить к исполнению поручения до 14 мая 12.,Отдел проектирования,Контроль над исполнением распоряжения оставить за специалистом первой категории отдела проектирования Семеновым И.А.,2012-05-13,специалист первый категория отдел проектирование,семёнов и.а.,2019-02-06,
51,20,Task1,Подготовить информационные материалы о компании. Установить срок выполнения задачи до 20 мая 19.,Административно-хозяйственный отдел,Контроль над выполнением настоящего приказа возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2019-05-19,руководитель административно-хозяйственный отдел,галкин c.c.,2014-04-13,
52,20,Task2,Обеспечить комфортные условия для работы сотрудников во внеурочное время. Завершить выполнение к 22 июня 21.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2021-06-21,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2014-04-13,
53,20,Task4,"Уточнить список сотрудников, имеющих право на бесплатное парковочное место у офиса. Завершить выполнение к 14 янв 12.",Административно-хозяйственный отдел,За контроль и выполнение назначить ответственным руководителя Административно-хозяйственного отдела С.С.Галкина,2012-01-13,руководитель административно-хозяйственный отдел,галкин c.c.,2014-04-13,
54,20,Task5,Закупить канцелярские принадлежности. Привести вышеизложенное поручение в исполнение к 20 июля 13.,Административно-хозяйственный отдел,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2013-07-19,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2014-04-13,
55,20,Task7,Организовать дополнительный клиниг помещений. Приступить к исполнению поручения до 28.05.2014.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Кравцову И.Е.,2014-05-27,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2014-04-13,
56,20,Task8,Организовать централизованную доставку сотрудников в офис. Определить срок исполнения задачи вплоть до 20.11.17.,Административно-хозяйственный отдел,Контроль над исполнением распоряжения оставить за специалистом первой категории административно-хозяйственного отдела Кравцовой И.Е.,2017-11-19,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2014-04-13,
57,20,Task9,Продлить договор с клининговой компанией. Установить срок выполнения задачи до 07.01.18.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить руководителя Административно-хозяйственного отдела С.С.Галкина,2018-01-06,руководитель административно-хозяйственный отдел,галкин c.c.,2014-04-13,
58,3,Task2,Провести аудит персональных данных в информационных системах. Срок завершения: 17.09.13.,Бухгалтерия,Обеспечение выполнения возложить на специалиста третей категории бухгалтерии Александрова А.С.,2013-09-16,специалист треть категория бухгалтерия,александров а.с.,2018-12-09,
59,3,Task4,Произвести расчет и выплату премии. Определить срок исполнения задачи вплоть до 08 окт 13.,Бухгалтерия,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста второй категории бухгалтерии Смирнову О.А.,2013-10-07,второй категория бухгалтерия,смирнов о.а.,2018-12-09,
60,3,Task5,Перечислить необходимые средства на закупку оборудования. Приступить к исполнению поручения до 10 дек 22.,Бухгалтерия,Ответственным за исполнение настоящего приказа назначить специалиста второй категории бухгалтерии Смирнову О.А.,2022-12-09,специалист второй категория бухгалтерия,смирнов о.а.,2018-12-09,
61,4,Task2,Выделить средства на проведение обучения. Установить срок выполнения задачи до 26.09.2016.,Бухгалтерия,Ответственным за исполнение настоящего приказа назначить специалиста второй категории бухгалтерии Смирнову О.А.,2016-09-25,специалист второй категория бухгалтерия,смирнов о.а.,2016-03-18,
62,5,Task1,Внести изменения в техническую документацию проекта. Дата окончания: 03 марта 21.,Отдел проектирования,Контроль над выполнением приказа возложить на руководителя отдела проектирования Департамента разработки Шихова Р.П.,2021-03-02,руководитель отдел проектирование,шихов р.п.,2016-05-09,
63,5,Task3,Согласовать проект системы с разработчиками. Привести вышеизложенное поручение в исполнение к 17 сентября 2015 года.,Отдел проектирования,Контроль над исполнением распоряжения оставить за специалистом первой категории отдела проектирования Семеновым И.А.,2015-09-16,специалист первый категория отдел проектирование,семёнов и.а.,2016-05-09,
64,5,Task4,Подготовить спецификацию проекта для формирования коммерческого предложения с учетом технического задания от заказчика. Сроком окончания работ определить 24.10.2015.,Отдел проектирования,За контроль и выполнение назначить ответственным специалиста первой категории отдела проектирования Семенова И.А.,2015-10-23,специалист первый категория отдел проектирование,семёнов и.а.,2016-05-09,
65,5,Task5,Подготовить спецификацию проекта для формирования коммерческого предложения с учетом технического задания от заказчика. Срок завершения: 12 авг 14.,Отдел проектирования,Ответственным за исполнение настоящего приказа назначить руководителя отдела проектирования Департамента разработки Шихова Р.П.,2014-08-11,руководитель отдел проектирование,шихов р.п.,2016-05-09,
66,5,Task6,Сохранить проектную документацию в архиве. Завершить выполнение к 12 августа 15.,Отдел проектирования,Контроль над выполнением приказа возложить на руководителя отдела проектирования Департамента разработки Шихова Р.П.,2015-08-11,руководитель отдел проектирование,шихов р.п.,2016-05-09,
67,5,Task7,Провести обучение сотрудником работе с программным обеспечением для проектирования систем. Приступить к исполнению поручения до 02 июля 12.,Отдел проектирования,За контроль и выполнение назначить ответственным специалиста первой категории отдела проектирования Семенова И.А.,2012-07-01,специалист первый категория отдел проектирование,семёнов и.а.,2016-05-09,
68,5,Task8,Подготовить спецификацию необходимого аппаратного и программного обеспечения для проекта. Определить срок исполнения задачи вплоть до 13 января 22.,Отдел проектирования,За контроль над исполнением распоряжения назначить ответственным специалиста первой категории отдела проектирования Семенова И.А.,2022-01-12,первый категория отдел проектирование,семёнов и.а.,2016-05-09,
69,6,Task1,Выполнить сверку расчетов с компаниями-пордядчиками. Срок выполнения поручения: 02.01.2016.,Бухгалтерия,Обеспечение выполнения возложить на специалиста второй категории бухгалтерии Смирнову О.А.,2016-01-01,специалист второй категория бухгалтерия,смирнов о.а.,2017-02-28,
70,6,Task2,Провести анализ выплат сотрудникам за работу во внеурочное время. Завершить выполнение к 28 марта 2014 года.,Бухгалтерия,Ответственным за исполнение настоящего приказа назначить главного бухгалтера Семенову М.С.,2014-03-27,главное бухгалтер,семёнов м.с.,2017-02-28,
71,7,Task1,Провести анализ неисправности работы API и обеспечить устранение ошибки. Привести вышеизложенное поручение в исполнение к 16 августа 17.,Отдел разработки систем,За контроль и выполнение назначить ответственным специалиста третьей категории отдела разработки систем Андреева С.Е.,2017-08-15,специалист третий категория отдел разработка система,андреев с.е.,2016-08-21,
72,7,Task2,Провести анализ неисправности работы API и обеспечить устранение ошибки. Сроком окончания работ определить 28 ноября 16.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным программиста Абашкина Ореста,2016-11-27,программист,абашкин о.,2016-08-21,
73,8,Task1,Добавить дополнительных механизм авторизации пользователей в системе. Привести вышеизложенное поручение в исполнение к 11.09.15.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным специалиста второй категории отдела разработки пользовательских интерфейсов Попова А.А.,2015-09-10,специалист второй категория,попов а.а.,2015-07-25,
74,9,Task1,Организовать VPN соединение для взаимодействия с подрядчиком. Срок выполнения поручения: 19 сен 12.,Служба ИТ,За контроль над исполнением распоряжения назначить ответственным администратора баз данных Абакулова Петра,2012-09-18,администратор база данные,абакулов п.,2014-06-08,
75,9,Task2,Установить дополнительное аппаратное обеспечение для повышения производительности серверного оборудования. Определить срок исполнения задачи вплоть до 10 фев 13.,Служба ИТ,Ответственным за контролем над исполнением вышеизложенных задач назначить системного администратора Абалакова Севастьяна,2013-02-09,системный администратор,абалаков с.,2014-06-08,
